epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,232471,0.68246,0.42721,0.93569,0.97528,0.89658,0.96136,0.83497,0.57163,0.40465,0.8923,0.004951,0.004951,0.004951
155,236690,0.67836,0.42351,0.93557,0.96668,0.90221,0.96454,0.84418,0.55165,0.39726,0.88156,0.004918,0.004918,0.004918
156,240962,0.69439,0.42853,0.94135,0.96229,0.91096,0.96721,0.84221,0.54803,0.38981,0.88411,0.004885,0.004885,0.004885
157,245229,0.68641,0.43643,0.9364,0.95342,0.91615,0.96982,0.84868,0.54543,0.37128,0.88704,0.004852,0.004852,0.004852
158,249525,0.69187,0.43206,0.94139,0.9619,0.91701,0.96964,0.84662,0.54756,0.38379,0.88704,0.004819,0.004819,0.004819
159,253727,0.6791,0.41556,0.93076,0.96084,0.91529,0.9664,0.84031,0.55136,0.38814,0.88822,0.004786,0.004786,0.004786
160,257825,0.68351,0.42916,0.93811,0.95862,0.9157,0.97051,0.84544,0.55369,0.38057,0.89035,0.004753,0.004753,0.004753
161,261970,0.67923,0.42198,0.93539,0.95993,0.91554,0.96165,0.83683,0.56014,0.39732,0.88845,0.00472,0.00472,0.00472
162,266134,0.6785,0.43029,0.93246,0.96666,0.90816,0.964,0.84063,0.55625,0.39635,0.88403,0.004687,0.004687,0.004687
163,270407,0.67847,0.41961,0.93142,0.95973,0.9038,0.96353,0.84199,0.55078,0.3974,0.88582,0.004654,0.004654,0.004654
164,274499,0.67617,0.42574,0.93439,0.95367,0.91203,0.96676,0.84426,0.55428,0.38944,0.88655,0.004621,0.004621,0.004621
165,278593,0.68174,0.42097,0.93654,0.9554,0.90986,0.96829,0.84677,0.55602,0.38813,0.88715,0.004588,0.004588,0.004588
166,282704,0.66639,0.41351,0.92795,0.96629,0.90475,0.96182,0.84166,0.5517,0.40124,0.88309,0.004555,0.004555,0.004555
167,286827,0.66716,0.41271,0.92409,0.97246,0.90477,0.96559,0.84358,0.56071,0.39115,0.88571,0.004522,0.004522,0.004522
168,290940,0.65816,0.40434,0.92774,0.95851,0.90543,0.96329,0.83955,0.56426,0.39474,0.88744,0.004489,0.004489,0.004489
169,295138,0.68138,0.41257,0.93102,0.95991,0.9191,0.96735,0.84763,0.55949,0.3893,0.88489,0.004456,0.004456,0.004456
170,299252,0.66154,0.40937,0.92446,0.95729,0.91619,0.96547,0.84126,0.56398,0.39039,0.88829,0.004423,0.004423,0.004423
171,303357,0.66628,0.42066,0.92375,0.96629,0.91096,0.96604,0.84434,0.55868,0.38397,0.8877,0.00439,0.00439,0.00439
172,307491,0.6641,0.41487,0.92254,0.96209,0.91666,0.96741,0.8493,0.54803,0.37616,0.88218,0.004357,0.004357,0.004357
173,311676,0.66329,0.40878,0.9266,0.97079,0.91454,0.96151,0.84081,0.55763,0.38249,0.88849,0.004324,0.004324,0.004324
174,315832,0.65577,0.4007,0.91966,0.95834,0.91064,0.96268,0.84,0.56555,0.39543,0.8919,0.004291,0.004291,0.004291
175,320087,0.66422,0.4105,0.92232,0.97304,0.8988,0.96463,0.84146,0.55708,0.39016,0.88756,0.004258,0.004258,0.004258
176,324243,0.64941,0.40196,0.91553,0.97075,0.9172,0.96569,0.84525,0.54866,0.37936,0.88712,0.004225,0.004225,0.004225
177,328345,0.65734,0.41136,0.923,0.96851,0.91585,0.96549,0.8429,0.54675,0.39317,0.88534,0.004192,0.004192,0.004192
178,332480,0.66367,0.41715,0.92258,0.96724,0.91476,0.96357,0.83727,0.55572,0.4018,0.88966,0.004159,0.004159,0.004159
179,336654,0.65606,0.40691,0.91831,0.96765,0.91399,0.95912,0.83741,0.5484,0.40577,0.88851,0.004126,0.004126,0.004126
180,340774,0.64408,0.39448,0.92101,0.97173,0.89386,0.96052,0.83621,0.5483,0.3989,0.8874,0.004093,0.004093,0.004093
181,344872,0.64525,0.39968,0.92614,0.96761,0.90992,0.96188,0.83842,0.56172,0.39906,0.89396,0.00406,0.00406,0.00406
182,349006,0.6511,0.4032,0.92218,0.97746,0.89929,0.96492,0.84088,0.55784,0.40503,0.89175,0.004027,0.004027,0.004027
183,353112,0.65092,0.40487,0.92068,0.96787,0.91756,0.97085,0.85016,0.55141,0.37891,0.8876,0.003994,0.003994,0.003994
184,357679,0.65399,0.40413,0.92274,0.97763,0.90142,0.9666,0.84444,0.5467,0.38935,0.88679,0.003961,0.003961,0.003961
185,361888,0.64141,0.4012,0.92189,0.94174,0.9347,0.96703,0.84564,0.53964,0.37352,0.88437,0.003928,0.003928,0.003928
186,366147,0.6437,0.39,0.91421,0.97207,0.905,0.96474,0.84411,0.53908,0.37094,0.88337,0.003895,0.003895,0.003895
187,370331,0.64643,0.3996,0.92041,0.96393,0.93102,0.96587,0.84334,0.5492,0.36476,0.88279,0.003862,0.003862,0.003862
